YEAR MONTH DAY PRCP TMAX TMIN TAVG
2000 1 1 0 32 22 27
2000 1 2 0 -2.96 -16.31 -9.63
2000 1 3 0 0.03 -17.24 -8.6
2000 1 4 0 0.94 -10.13 -4.6
2000 1 5 5.9 4.8 -9.17 -2.19
2000 1 6 0 3.74 -9.82 -3.04
2000 1 7 0 2.01 -6.74 -2.37
2000 1 8 0 6.73 -9.43 -1.35
2000 1 9 0 2.46 -8.09 -2.81
2000 1 10 0 -0.73 -11.81 -6.27
2000 1 11 0 -4.37 -18.74 -11.55
2000 1 12 0 7.51 -1.23 3.14
2000 1 13 0 -5.97 -16.97 -11.47
2000 1 14 1.47 -8.9 -20.71 -14.8
2000 1 15 1.64 0.44 -10.13 -4.85
2000 1 16 0.31 -2.65 -9.78 -6.21
2000 1 17 2 13.92 2.19 8.05
2000 1 18 0.22 1.78 -10.37 -4.29
2000 1 19 0.16 -1.54 -7.31 -4.43
2000 1 20 0 0.23 -8.4 -4.08
2000 1 21 1.19 5.81 -1.09 2.36
2000 1 22 0 5.57 -3.92 0.82
2000 1 23 0.08 -5.58 -23.53 -14.55
2000 1 24 16.14 -6.65 -19.72 -13.18
2000 1 25 0.3 -0.74 -11.61 -6.18
2000 1 26 0.01 -6.45 -13.73 -10.09
2000 1 27 0.03 -1.36 -11.01 -6.19
2000 1 28 0 0.14 -9.75 -4.8
2000 1 29 1.28 -7.96 -21.72 -14.84
2000 1 30 0.94 5.16 -7.37 -1.1
2000 1 31 0 -3.01 -14.83 -8.92
2000 2 1 0.18 -4.51 -24.97 -14.74
2000 2 2 0 -1.51 -16.42 -8.96
2000 2 3 0 -1.61 -20.28 -10.95
2000 2 4 2.37 -8.88 -19.79 -14.34
2000 2 5 32.32 6.17 -12.95 -3.39
2000 2 6 0 -0.35 -11.61 -5.98
2000 2 7 0.22 6.26 0.87 3.56
2000 2 8 0 -7.8 -14.55 -11.18
2000 2 9 0 6.14 -8.94 -1.4
2000 2 10 0 2.68 -18.46 -7.89
2000 2 11 0 -0.23 -7.2 -3.71
2000 2 12 2 3.46 -10.61 -3.57
2000 2 13 58.5 -4.69 -12.74 -8.71
2000 2 14 41.62 -0.39 -14.91 -7.65
2000 2 15 4.5 7.03 -0.81 3.11
2000 2 16 1.44 2.94 -2.29 0.32
2000 2 17 0 -1.62 -13.56 -7.59
2000 2 18 0 5.6 -5.88 -0.14
2000 2 19 0 2.69 -9.87 -3.59
2000 2 20 0 5.69 -4.24 0.72
2000 2 21 0.1 2.82 -10.07 -3.62
2000 2 22 0 8.04 0.31 4.17
2000 2 23 0 14.56 -3.18 5.69
2000 2 24 0 6.82 -2.52 2.15
2000 2 25 0 4.55 -2.72 0.92
2000 2 26 0 9.58 -10.34 -0.38
2000 2 27 0 4.31 -4.35 -0.02
2000 2 28 0 5 -5.33 -0.17
2000 2 29 0 6.31 -12.06 -2.88
2000 3 1 0.41 -3.65 -12.34 -8
2000 3 2 7.5 18.25 2.96 10.61
2000 3 3 4.2 -0.01 -6.39 -3.2
2000 3 4 0.11 1.2 -6.66 -2.73
2000 3 5 0 7.61 -9.61 -1
2000 3 6 0 -7.17 -18.11 -12.64
2000 3 7 0 1.14 -7.76 -3.31
2000 3 8 12.98 1.41 -8.58 -3.58
2000 3 9 1.15 3.97 -2.76 0.6
2000 3 10 0.07 5.36 -6.57 -0.61
2000 3 11 0 7.5 3.37 5.44
2000 3 12 0 2.67 -9.79 -3.56
2000 3 13 0 8.79 -8.37 0.21
2000 3 14 0 2.45 -10.86 -4.21
2000 3 15 0.01 1.03 -13.23 -6.1
2000 3 16 0 4.47 -6.03 -0.78
2000 3 17 0.87 19.44 2.71 11.08
2000 3 18 65.15 16.49 2.6 9.54
2000 3 19 10.13 10.89 2.03 6.46
2000 3 20 2.2 -0.46 -8.5 -4.48
2000 3 21 10.61 8.93 -5.24 1.84
2000 3 22 0 3.61 1.15 2.38
2000 3 23 0 16.67 -0.32 8.18
2000 3 24 0 13.17 3.42 8.29
2000 3 25 0 9.08 0.12 4.6
2000 3 26 0 9.26 -1.99 3.63
2000 3 27 0.24 4.58 -6.41 -0.92
2000 3 28 0 2.51 -8.97 -3.23
2000 3 29 0 6.87 -3.15 1.86
2000 3 30 1.39 8.8 2.39 5.59
2000 3 31 0 8.79 -3.01 2.89
2000 4 1 1.55 11.28 -1.72 4.78
2000 4 2 0 12 -2.53 4.73
2000 4 3 1.04 9.54 -2.87 3.34
2000 4 4 0.04 22.06 4.64 13.35
2000 4 5 2.07 15.02 4.12 9.57
2000 4 6 0.01 17.15 1.08 9.12
2000 4 7 0.07 18.44 0.59 9.52
2000 4 8 19.49 18.56 9.12 13.84
2000 4 9 0.81 6.82 -2 2.41
2000 4 10 0 9.17 3.12 6.14
2000 4 11 0.02 18.85 -0.46 9.2
2000 4 12 0.01 9.12 -1.28 3.92
2000 4 13 0 4.41 0.23 2.32
2000 4 14 0 14.49 0.59 7.54
2000 4 15 0 13.47 -2.8 5.34
2000 4 16 0 11.73 -5.08 3.33
2000 4 17 0 16.81 6.24 11.53
2000 4 18 0 13.94 4.29 9.12
2000 4 19 0 20 -0.21 9.89
2000 4 20 10.1 22.91 9.07 15.99
2000 4 21 2.84 18.35 7.88 13.12
2000 4 22 0 8.55 3.37 5.96
2000 4 23 0 7.97 -1.84 3.06
2000 4 24 0.73 22.67 4.07 13.37
2000 4 25 6.35 27.51 12.74 20.12
2000 4 26 0.14 6.67 2.96 4.81
2000 4 27 0 24.46 3.73 14.1
2000 4 28 13.31 16.86 6.73 11.8
2000 4 29 28.36 20.56 10.01 15.29
2000 4 30 25.33 21.92 15.22 18.57
2000 5 1 2.77 10.41 5.64 8.03
2000 5 2 0.29 22.3 13.33 17.82
2000 5 3 9.44 18.56 11.23 14.89
2000 5 4 0 14.1 9.22 11.66
2000 5 5 0.16 25.39 8.43 16.91
2000 5 6 0.01 20.95 7.6 14.27
2000 5 7 0.73 16.56 -2.18 7.19
2000 5 8 0 25.27 5.24 15.25
2000 5 9 0 21.12 1.68 11.4
2000 5 10 1.46 17.7 4.83 11.27
2000 5 11 0.62 22.38 9.92 16.15
2000 5 12 51.71 17.2 11.64 14.42
2000 5 13 0 10.84 7.97 9.4
2000 5 14 0.08 19.24 1.87 10.55
2000 5 15 2.73 21.51 6.73 14.12
2000 5 16 10.27 16.24 6.95 11.6
2000 5 17 0 14.85 10.36 12.61
2000 5 18 1.31 25.45 4.81 15.13
2000 5 19 8.81 15.71 10.31 13.01
2000 5 20 0.28 28.02 13.69 20.86
2000 5 21 20.17 29.87 16.14 23.01
2000 5 22 0 18.32 13.56 15.94
2000 5 23 1.43 22.44 5.9 14.17
2000 5 24 0.27 23.75 10.84 17.3
2000 5 25 0 20.09 2.46 11.28
2000 5 26 0.86 26.41 9.27 17.84
2000 5 27 0 22.38 8.48 15.43
2000 5 28 10.43 19.55 9.86 14.7
2000 5 29 1.04 19.66 9.94 14.8
2000 5 30 0.42 30.05 18.62 24.34
2000 5 31 0.89 23.12 13.29 18.2
2000 6 1 0 27.46 10.34 18.9
2000 6 2 0 27.26 11.2 19.23
2000 6 3 0 26.05 11.98 19.02
2000 6 4 0.29 23.48 10.33 16.91
2000 6 5 0.02 26.3 14.34 20.32
2000 6 6 4.56 27.96 17.8 22.88
2000 6 7 0.34 16.12 4.21 10.16
2000 6 8 0.02 19.77 4.95 12.36
2000 6 9 0 22.63 8.85 15.74
2000 6 10 0 24.12 8.83 16.48
2000 6 11 0 30.88 10.12 20.5
2000 6 12 0 23.11 9.52 16.31
2000 6 13 8.47 32.14 17.64 24.89
2000 6 14 13.44 26.51 14.55 20.53
2000 6 15 1 16.58 11.24 13.91
2000 6 16 1.4 15.45 9.53 12.49
2000 6 17 1.54 14.11 10.53 12.32
2000 6 18 1.54 14.11 10.53 12.32
2000 6 19 0 28.1 14.73 21.41
2000 6 20 0 31.3 20.51 25.91
2000 6 21 0 25.7 6.52 16.11
2000 6 22 2.89 29.22 14.04 21.63
2000 6 23 0.6 33.23 14.92 24.07
2000 6 24 0.04 20.8 9.82 15.31
2000 6 25 7.62 27.79 11.23 19.51
2000 6 26 0.72 23.71 14.93 19.32
2000 6 27 0 26.86 10.2 18.53
2000 6 28 13.3 34.58 19.05 26.81
2000 6 29 0.75 25.9 18.33 22.11
2000 6 30 0 28.68 17.05 22.87
2000 7 1 0.77 30.2 18.77 24.48
2000 7 2 0.75 24.24 17.61 20.92
2000 7 3 0.08 23.25 18.67 20.96
2000 7 4 0 29.33 16.79 23.06
2000 7 5 0 26.78 7.03 16.91
2000 7 6 0 35.49 18.9 27.2
2000 7 7 0.16 29.25 14.57 21.91
2000 7 8 0 26.03 11.2 18.62
2000 7 9 1.46 28.25 14.9 21.57
2000 7 10 0.09 28.42 15.56 21.99
2000 7 11 0.05 29.13 16.25 22.69
2000 7 12 4.99 29.24 16.61 22.92
2000 7 13 3.3 34.09 20.16 27.12
2000 7 14 0.03 35.84 20.8 28.32
2000 7 15 2.01 31.2 14.67 22.93
2000 7 16 5.76 30.3 21.45 25.88
2000 7 17 0.05 33.64 16.98 25.31
2000 7 18 0 28.17 17.56 22.87
2000 7 19 0.03 24.33 14.2 19.27
2000 7 20 0.13 30.3 17.06 23.68
2000 7 21 1.22 27.48 18.42 22.95
2000 7 22 0.02 29.96 14.01 21.98
2000 7 23 0.96 35.17 18.52 26.84
2000 7 24 0.01 31.04 17.12 24.08
2000 7 25 0 26.66 12 19.33
2000 7 26 2.94 29.38 11.21 20.3
2000 7 27 0 29.2 18.02 23.61
2000 7 28 0 27.93 10.89 19.41
2000 7 29 0 31.36 19.18 25.27
2000 7 30 0 29.39 10.92 20.16
2000 7 31 0.15 30.79 13.23 22.01
2000 8 1 3.18 23.04 17.51 20.27
2000 8 2 0 24.21 16.55 20.38
2000 8 3 14.21 30.67 15.7 23.19
2000 8 4 45.42 23.12 15.97 19.55
2000 8 5 0 33.25 16.97 25.11
2000 8 6 0 34.76 14.72 24.74
2000 8 7 7.2 27.16 10.08 18.62
2000 8 8 0 30.94 18.73 24.84
2000 8 9 0 32.91 19.58 26.24
2000 8 10 0 27.28 16.95 22.12
2000 8 11 0 29.37 8.82 19.09
2000 8 12 1.03 27.99 14.01 21
2000 8 13 0 22.3 16.28 19.29
2000 8 14 5.47 32.08 16.92 24.5
2000 8 15 0 25.38 12.27 18.82
2000 8 16 0 27.98 9.52 18.75
2000 8 17 4.69 29.88 14.62 22.25
2000 8 18 98.4 28.19 22.82 25.51
2000 8 19 0 24.93 12.94 18.93
2000 8 20 0 31.04 16.79 23.91
2000 8 21 0 25.64 8.18 16.91
2000 8 22 7.2 33.2 11.04 22.12
2000 8 23 0 29.58 16.75 23.16
2000 8 24 0 29.05 9.14 19.09
2000 8 25 0 30.82 8.73 19.77
2000 8 26 0 28.46 10.41 19.44
2000 8 27 0.36 24.73 15.21 19.97
2000 8 28 2.34 28.01 11.82 19.91
2000 8 29 3.23 22.03 16.57 19.3
2000 8 30 27.18 25.68 18.57 22.12
2000 8 31 2.93 27.65 19.95 23.8
2000 9 1 3.9 24.21 14.76 19.48
2000 9 2 0 24.95 9.87 17.41
2000 9 3 0 30.38 17.29 23.84
2000 9 4 0 25.16 9.11 17.13
2000 9 5 0 26.1 13.92 20.01
2000 9 6 0 37.35 20.38 28.87
2000 9 7 0.05 21.97 8.01 14.99
2000 9 8 0.01 26.2 16.7 21.45
2000 9 9 12.16 21.7 13.34 17.52
2000 9 10 0.45 24.19 14.77 19.48
2000 9 11 0.25 24.43 17.8 21.12
2000 9 12 0 27.57 12.58 20.07
2000 9 13 4.67 22.94 15.26 19.1
2000 9 14 0.18 24.69 18.51 21.6
2000 9 15 0 20.04 2.04 11.04
2000 9 16 0 32.87 16.79 24.83
2000 9 17 0 29.68 14.82 22.25
2000 9 18 0 24.03 10.05 17.04
2000 9 19 0.21 25.08 8.69 16.88
2000 9 20 0.02 17.43 9.81 13.62
2000 9 21 6.38 27.23 15.99 21.61
2000 9 22 22.37 16.8 10.75 13.78
2000 9 23 0.04 19.5 12.19 15.84
2000 9 24 0 21.14 3.03 12.09
2000 9 25 1.98 17.96 1.34 9.65
2000 9 26 0 21.77 9.39 15.58
2000 9 27 0 18.91 -0.63 9.14
2000 9 28 0 22.55 10.95 16.75
2000 9 29 0 15.34 1.13 8.23
2000 9 30 0 24.15 7.34 15.74
2000 10 1 0.06 17.87 12.02 14.95
2000 10 2 6.25 20.27 10.7 15.48
2000 10 3 0 18.23 -0.49 8.87
2000 10 4 0 30.42 9.41 19.91
2000 10 5 0.01 16.6 0.43 8.52
2000 10 6 0.31 21.5 7.18 14.34
2000 10 7 20.78 20.98 15.2 18.09
2000 10 8 2.93 18.36 10.94 14.65
2000 10 9 3.95 12.09 2.83 7.46
2000 10 10 14.7 21.23 12.43 16.83
2000 10 11 0 17.3 7.89 12.6
2000 10 12 0 21.98 3.66 12.82
2000 10 13 0 26.47 9.91 18.19
2000 10 14 0.51 18.06 0.65 9.36
2000 10 15 3.31 23.77 0.64 12.21
2000 10 16 20.32 16.06 5.65 10.86
2000 10 17 23.53 15.97 7.68 11.82
2000 10 18 0 13.58 8.06 10.82
2000 10 19 2.38 20.82 12.73 16.77
2000 10 20 0.92 15.21 5.2 10.21
2000 10 21 0 19.91 3.97 11.94
2000 10 22 15.62 15.73 1.14 8.44
2000 10 23 11.36 16.42 4.25 10.34
2000 10 24 3.58 17.41 13.35 15.38
2000 10 25 0 18.96 5.86 12.41
2000 10 26 0 21.09 10.99 16.04
2000 10 27 0 19.08 4.27 11.67
2000 10 28 12.8 13.79 -1.46 6.16
2000 10 29 11.36 16.42 4.25 10.34
2000 10 30 13.26 12.96 8.8 10.88
2000 10 31 1.1 22.9 9.69 16.3
2000 11 1 20.88 8.86 3.87 6.37
2000 11 2 9.39 9.62 2.61 6.12
2000 11 3 0.31 12.8 4.1 8.45
2000 11 4 2.66 11.75 -2.91 4.42
2000 11 5 0 22.51 13.26 17.89
2000 11 6 0.38 19.95 0.89 10.42
2000 11 7 1.03 8.53 -2.65 2.94
2000 11 8 0.34 8.09 0.47 4.28
2000 11 9 0 14.48 -2.83 5.83
2000 11 10 2.12 18 1.93 9.96
2000 11 11 0.04 15.85 7.46 11.65
2000 11 12 24.46 16.31 5.14 10.72
2000 11 13 23.83 12.24 4.8 8.52
2000 11 14 0.03 12.62 9.89 11.25
2000 11 15 0.16 4.17 -2.38 0.9
2000 11 16 0 1.19 -7.02 -2.92
2000 11 17 0 6.9 -3.49 1.7
2000 11 18 0.19 6.84 -4.2 1.32
2000 11 19 6.86 7.94 -1.25 3.35
2000 11 20 0.09 6.06 -3.58 1.24
2000 11 21 0 4.53 0.24 2.38
2000 11 22 13.18 9.09 -6.68 1.21
2000 11 23 3.72 9.46 1.94 5.7
2000 11 24 9.56 9.83 -6.78 1.53
2000 11 25 1.05 8 4.57 6.29
2000 11 26 6.17 10.13 4.83 7.48
2000 11 27 0 13.47 1.34 7.41
2000 11 28 0 2 -9.44 -3.72
2000 11 29 0 3.02 -5.41 -1.2
2000 11 30 0.02 9.13 -3.86 2.63
2000 12 1 0 8.92 -0.47 4.22
2000 12 2 0 11.71 -3.73 3.99
2000 12 3 1.33 4.27 -3.51 0.38
2000 12 4 0.06 -2.12 -14.08 -8.1
2000 12 5 0.04 0.87 -10.8 -4.96
2000 12 6 0.14 8.83 0.92 4.88
2000 12 7 14.3 4.25 -4.6 -0.17
2000 12 8 33.26 9.86 3.71 6.79
2000 12 9 16 12.42 2.86 7.64
2000 12 10 0 -8.59 -13.99 -11.29
2000 12 11 0 5.19 -5.1 0.05
2000 12 12 0 -0.11 -9.32 -4.71
2000 12 13 0 7.06 -6.99 0.03
2000 12 14 0 -3.23 -15.62 -9.43
2000 12 15 0 -4.46 -14.68 -9.57
2000 12 16 0 5.04 -4.66 0.19
2000 12 17 0 3.4 -5.96 -1.28
2000 12 18 5.91 1.05 -6.43 -2.69
2000 12 19 0 2.17 -0.54 0.82
2000 12 20 0 -6.19 -10.28 -8.23
2000 12 21 0 7.43 -4.12 1.65
2000 12 22 0 4.29 -7.62 -1.66
2000 12 23 28.33 -3.84 -13.24 -8.54
2000 12 24 0 1.19 -2.16 -0.49
2000 12 25 6.08 0.08 -12.64 -6.28
2000 12 26 1.62 9.07 -5.38 1.85
2000 12 27 6.77 2.48 -7.75 -2.63
2000 12 28 1.61 5.25 -6.43 -0.59
2000 12 29 0.32 -3.49 -17.86 -10.68
2000 12 30 0 -1.73 -15.76 -8.75
2000 12 31 0 -2.51 -14.45 -8.48
2001 1 1 8.68 5.33 -4.32 0.5
2001 1 2 8.96 -3.11 -20.61 -11.86
2001 1 3 0 6.48 0.41 3.45
2001 1 4 0 5.62 -7.24 -0.81
2001 1 5 5.9 4.8 -9.17 -2.19
2001 1 6 23.09 3.82 -3.22 0.3
2001 1 7 0.03 2.95 -12.37 -4.71
2001 1 8 0 -1.53 -14.6 -8.07
2001 1 9 0 6.29 -3.76 1.27
2001 1 10 0 6.2 -6.68 -0.24
2001 1 11 0 -4.37 -18.74 -11.55
2001 1 12 0.09 -13.72 -26.13 -19.93
2001 1 13 1.44 -5.55 -16.36 -10.96
2001 1 14 0 -3.81 -18.23 -11.02
2001 1 15 0 -0.38 -13.08 -6.73
2001 1 16 3.93 -1.16 -21.69 -11.43
2001 1 17 1.96 -5.66 -15.75 -10.7
2001 1 18 0.08 -5.08 -21.51 -13.3
2001 1 19 0.01 4.95 -2.64 1.16
2001 1 20 1.48 4.06 -10.48 -3.21
2001 1 21 1.61 4.29 -9.84 -2.78
2001 1 22 0.01 4.53 -15.06 -5.26
2001 1 23 0.93 4.19 -9.3 -2.56
2001 1 24 0.04 5.91 -4.97 0.47
2001 1 25 0 2.79 -3.41 -0.31
2001 1 26 0 -5.77 -16.01 -10.89
2001 1 27 0 3.14 -7.46 -2.16
2001 1 28 0 -5.52 -18.97 -12.24
2001 1 29 0 5.54 -8.44 -1.45
2001 1 30 0 -1.13 -6.41 -3.77
2001 1 31 0 4.78 -9.07 -2.15
2001 2 1 2.89 2.34 -15.48 -6.57
2001 2 2 9.5 0.24 -7.52 -3.64
2001 2 3 0 3.78 -8 -2.11
2001 2 4 0 2.04 -8.51 -3.24
2001 2 5 35.99 6.93 -3.47 1.73
2001 2 6 0 -0.35 -11.61 -5.98
2001 2 7 0 -1.94 -15.29 -8.62
2001 2 8 0.12 3.3 -14.02 -5.36
2001 2 9 20.22 4.09 -7.11 -1.51
2001 2 10 0.26 10.86 1.26 6.06
2001 2 11 0 -7.8 -14.55 -11.18
2001 2 12 3.46 0.32 -12.14 -5.91
2001 2 13 0.2 3.77 -4.17 -0.2
2001 2 14 1.65 4.7 -12.05 -3.68
2001 2 15 1.21 4.79 -7.56 -1.39
2001 2 16 0 6.48 -2.12 2.18
2001 2 17 2.04 11.5 2.08 6.79
2001 2 18 0 -3.52 -11.08 -7.3
2001 2 19 0 -7.14 -18.12 -12.63
2001 2 20 0 -4.5 -20.8 -12.65
2001 2 21 0 5.14 0.2 2.67
2001 2 22 8.9 20.05 1.47 10.76
2001 2 23 38.03 8.14 2.67 5.4
2001 2 24 0.25 3.9 -5.79 -0.95
2001 2 25 14.76 5.75 -5.98 -0.12
2001 2 26 6.39 3.09 -7.39 -2.15
2001 2 27 0.01 6.73 1.55 4.14
2001 2 28 0 3.26 -8.85 -2.8
2001 3 1 0.07 13.15 1.33 7.24
2001 3 2 0.87 9.82 1.01 5.42
2001 3 3 0 15.67 0.24 7.96
2001 3 4 0 -1.18 -9.43 -5.3
2001 3 5 0.11 8.64 -0.45 4.09
2001 3 6 0.01 10.43 0.49 5.46
2001 3 7 0.02 5.17 0.24 2.7
2001 3 8 0.75 4.2 -4.93 -0.36
2001 3 9 20.47 6.62 -5.32 0.65
2001 3 10 0 14.98 3.02 9
2001 3 11 0 11.75 -0.07 5.84
2001 3 12 0.07 8.81 -2.92 2.94
2001 3 13 0.01 9.59 -1.13 4.23
2001 3 14 0 6.25 -4.02 1.12
2001 3 15 5.66 21.97 0.8 11.38
2001 3 16 0 9.53 -1.53 4
2001 3 17 0 6.54 -3.14 1.7
2001 3 18 0 5.22 -2.7 1.26
2001 3 19 0 4.44 -8.36 -1.96
2001 3 20 2.85 4.84 -8.39 -1.78
2001 3 21 0.1 8.62 0.35 4.49
2001 3 22 0.04 2.69 -3.12 -0.21
2001 3 23 0 13.1 -0.73 6.18
2001 3 24 0 4.37 -4.07 0.15
2001 3 25 0 15.06 -0.95 7.05
2001 3 26 0 9.26 -1.99 3.63
2001 3 27 0 9.31 -8.46 0.42
2001 3 28 0.13 15.63 -1.23 7.2
2001 3 29 3.19 7.98 -1.03 3.48
2001 3 30 1.57 9.42 2.64 6.03
2001 3 31 7.29 31.5 9.44 20.47
2001 4 1 0 3.03 -1.72 0.65
2001 4 2 0.01 14.73 -3.87 5.43
2001 4 3 0 13.95 -3.46 5.24
2001 4 4 0 16.81 4.16 10.48
2001 4 5 0 15.97 1 8.48
2001 4 6 16.18 9.43 1.09 5.26
2001 4 7 22.61 14.26 2.79 8.53
2001 4 8 4.05 23.56 2 12.78
2001 4 9 0 9.41 3.85 6.63
2001 4 10 10.43 12.87 2.87 7.87
2001 4 11 0 5.97 1.84 3.91
2001 4 12 0 9.47 -1.64 3.92
2001 4 13 0 10.69 -3.2 3.74
2001 4 14 0.01 9.86 1.97 5.92
2001 4 15 0 14.14 1.22 7.68
2001 4 16 0 11.73 -5.08 3.33
2001 4 17 0 10.22 -1.08 4.57
2001 4 18 9.34 11.46 0.65 6.06
2001 4 19 6.28 14.06 3.83 8.95
2001 4 20 62.06 15.87 4.51 10.19
2001 4 21 5.33 9.24 6.04 7.64
2001 4 22 0.02 11.79 1.91 6.85
2001 4 23 0 19.53 5.31 12.42
2001 4 24 0 22.54 5.38 13.96
2001 4 25 2.84 25.29 5.77 15.53
2001 4 26 2.5 22.78 9.33 16.05
2001 4 27 0 14.13 6.56 10.35
2001 4 28 0 23.72 6.55 15.13
2001 4 29 23.13 26.91 10.76 18.84
2001 4 30 4.05 19.83 9.95 14.89
2001 5 1 0 21.89 7.3 14.6
2001 5 2 0 15.99 -2.07 6.96
2001 5 3 0 22.07 7.31 14.69
2001 5 4 0.01 27 6.03 16.52
2001 5 5 2 21.47 8.11 14.79
2001 5 6 5.55 20.62 6.8 13.71
2001 5 7 0 12.76 4.21 8.48
2001 5 8 0 20.08 0.46 10.27
2001 5 9 0 22.61 2.11 12.36
2001 5 10 0 25.39 7.73 16.56
2001 5 11 0 23.09 4 13.54
2001 5 12 0 23.23 4.79 14.01
2001 5 13 1.94 20.57 4.42 12.5
2001 5 14 2.55 17.42 5.45 11.44
2001 5 15 10.16 19.92 9.17 14.55
2001 5 16 12.74 13.34 9.1 11.22
2001 5 17 0 14.85 10.36 12.61
2001 5 18 0 23.05 2.11 12.58
2001 5 19 0 13.3 5.96 9.63
2001 5 20 2.84 24.59 8.45 16.52
2001 5 21 10.16 19.92 9.17 14.55
2001 5 22 0.01 18.17 10.73 14.45
2001 5 23 0 30.77 14.1 22.43
2001 5 24 3.57 26.07 13.11 19.59
2001 5 25 0 17.69 5.78 11.73
2001 5 26 0.01 23.37 5.28 14.33
2001 5 27 0 26.22 8.12 17.17
2001 5 28 0 24.05 9.13 16.59
2001 5 29 0 28.73 11.6 20.16
2001 5 30 0 28.22 9.09 18.66
2001 5 31 0 27.42 5.83 16.62
2001 6 1 0 24.85 4.18 14.52
2001 6 2 3.57 29.84 10.79 20.31
2001 6 3 0 27.74 12.57 20.16
2001 6 4 0 31.32 12.56 21.94
2001 6 5 0.15 27.73 14.59 21.16
2001 6 6 0.12 24.55 15.21 19.88
2001 6 7 3.28 23.75 13.06 18.41
2001 6 8 1.3 34.23 19 26.61
2001 6 9 0 26.39 7.75 17.07
2001 6 10 0 25.32 11.53 18.43
2001 6 11 12.02 33.85 18.13 25.99
2001 6 12 0 21.4 8.27 14.83
2001 6 13 3.57 17.48 10.51 14
2001 6 14 17.83 21.67 12.02 16.84
2001 6 15 0 24.61 14 19.3
2001 6 16 0.15 24.42 10.61 17.52
2001 6 17 1.19 27.62 15.77 21.7
2001 6 18 1.54 14.11 10.53 12.32
2001 6 19 0 25.47 14.59 20.03
2001 6 20 0.01 25.01 9.38 17.2
2001 6 21 7.22 30.3 18.07 24.19
2001 6 22 29.83 22.88 15.21 19.05
2001 6 23 0 27.42 20.25 23.84
2001 6 24 0 23.61 16.15 19.88
2001 6 25 0 29.16 17.71 23.44
2001 6 26 0 28.93 13.73 21.33
2001 6 27 0 27.47 13.37 20.42
2001 6 28 0 27.91 13.7 20.8
2001 6 29 0.6 29.85 13.02 21.44
2001 6 30 0.1 30.7 15.72 23.21
2001 7 1 0 29.33 16.79 23.06
2001 7 2 8.93 25.39 17.08 21.23
2001 7 3 1.22 25.6 13.96 19.78
2001 7 4 0 27.2 9.55 18.38
2001 7 5 0 30.6 10.58 20.59
2001 7 6 0.73 27.47 7.59 17.53
2001 7 7 2.07 32.25 18.09 25.17
2001 7 8 0.05 30.1 19.39 24.75
2001 7 9 0 29.2 17.14 23.17
2001 7 10 0 33.89 15.39 24.64
2001 7 11 0.44 28.22 15.82 22.02
2001 7 12 0 26.39 8.15 17.27
2001 7 13 0 31.4 19.89 25.64
2001 7 14 0 28.59 11.08 19.84
2001 7 15 0 28.23 13.6 20.91
2001 7 16 0 28.1 11.82 19.96
2001 7 17 0 23.66 16.23 19.95
2001 7 18 0 28.06 13.18 20.62
2001 7 19 0 27.51 11.49 19.5
2001 7 20 1.7 31.75 18.58 25.16
2001 7 21 0 27.65 10.83 19.24
2001 7 22 0 31.43 18.37 24.9
2001 7 23 0.01 26.82 13.26 20.04
2001 7 24 0 33.6 20.09 26.84
2001 7 25 0 27.78 12.16 19.97
2001 7 26 0 32.48 19.87 26.18
2001 7 27 0 30.6 14.03 22.32
2001 7 28 0 30.81 13.03 21.92
2001 7 29 9.11 27.23 17.77 22.5
2001 7 30 1.63 27.77 17.77 22.77
2001 7 31 0 31.13 17.06 24.09
2001 8 1 0 26.68 13.91 20.3
2001 8 2 0 31.39 19.74 25.56
2001 8 3 0 30.14 13.03 21.59
2001 8 4 0.01 30.34 15.79 23.06
2001 8 5 1.06 27.73 14.62 21.18
2001 8 6 0.22 26.97 13.87 20.42
2001 8 7 1.28 32.44 19.54 25.99
2001 8 8 3.48 29.22 18.05 23.63
2001 8 9 0 31.5 19.93 25.71
2001 8 10 0 32.21 16.71 24.46
2001 8 11 4.75 34.63 20.03 27.33
2001 8 12 0 27.85 15.37 21.61
2001 8 13 0 21.42 7.87 14.65
2001 8 14 3.93 25.87 8.88 17.38
2001 8 15 0.05 26.09 11.87 18.98
2001 8 16 2.32 24.21 12.86 18.54
2001 8 17 0.15 28.76 13.47 21.12
2001 8 18 8.05 28.55 19.77 24.16
2001 8 19 0 25.89 8.15 17.02
2001 8 20 0 27.16 8 17.58
2001 8 21 0 32.1 12.57 22.34
2001 8 22 0.24 26.09 7.44 16.77
2001 8 23 0 21.44 16.6 19.02
2001 8 24 0 32.58 15.36 23.97
2001 8 25 0.52 27.34 8.06 17.7
2001 8 26 0 28.85 11.19 20.02
2001 8 27 0 26.76 13.09 19.93
2001 8 28 0.05 33.4 16.59 24.99
2001 8 29 0.03 27.08 13.96 20.52
2001 8 30 0.05 28.31 10.13 19.22
2001 8 31 0 24.64 7.5 16.07
2001 9 1 0 29.9 13.72 21.81
2001 9 2 0 32.82 15.57 24.2
2001 9 3 12.22 25.09 9.77 17.43
2001 9 4 0 30.14 16.92 23.53
2001 9 5 0 32.63 11.77 22.2
2001 9 6 0 25.09 9.51 17.3
2001 9 7 13.28 26.91 12.1 19.5
2001 9 8 0.31 19.65 12.81 16.23
